"","NR_Name","NR_ID","sex","generation","father","mother","foster","gestational_diet","nursing_diet","weanling_diet","majority_diet","overall_diet","birth_date","death_date","litter_size","litter_order","notes","rbg100","rbg120","rbg140","rbg200","rbg300"
"631","T1526F",1761,"F",13,"T1002M","T1201F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-31,2022-01-05,7,3,"Priority breeder; brothers developed early onset diabetes",NA,NA,NA,NA,NA
"632","T1527F",1762,"F",13,"T1002M","T1201F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-31,2022-01-05,7,3,"Priority breeder; brothers developed early onset diabetes",NA,NA,NA,NA,NA
"633","T1528F",1763,"F",13,"T1002M","T1201F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-31,2021-12-28,7,3,"Priority breeder; brothers developed early onset diabetes",16,16,16,16,16
"634","T1529F",1764,"F",13,"T1002M","T1201F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-31,2022-06-09,7,3,"Priority breeder; brothers developed early onset diabetes",16,24,NA,NA,NA
"635","T152M",314,"M",2,"T18M","T8F",NA,"Rab","Rab","Rab","Rab","Rab",2015-09-06,2017-01-24,2,1,NA,20,20,20,NA,NA
"636","T1530F",1765,"F",13,"T1002M","T1201F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-31,2022-06-06,7,3,"Priority breeder; brothers developed early onset diabetes",16,NA,NA,NA,NA
"637","T1531M",1766,"M",13,"T1014M","T1200F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-02,2022-05-12,7,3,NA,16,16,16,16,36
"638","T1532M",1767,"M",13,"T1014M","T1200F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-02,2022-06-09,7,3,NA,36,36,36,NA,NA
"639","T1533M",1768,"M",13,"T1014M","T1200F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-02,2022-01-20,7,3,NA,16,16,16,20,20
"640","T1534M",1769,"M",13,"T1014M","T1200F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-02,2022-06-09,7,3,NA,NA,NA,NA,NA,NA
"641","T1535M",1770,"M",13,"T1014M","T1200F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-02,2022-06-09,7,3,NA,36,36,36,36,NA
"642","T1536F",1771,"F",13,"T1014M","T1200F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-02,2022-01-03,7,3,"injured by brother",NA,NA,NA,NA,NA
"643","T1537F",1772,"F",13,"T1014M","T1200F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-02,2022-06-09,7,3,NA,8,NA,NA,NA,NA
"644","T1538M",1542,"M",12,"T1213M","T1353F",NA,"Rod","Rod","Rab","Rab","Rab",2021-09-14,2022-06-21,5,1,NA,NA,NA,NA,NA,NA
"645","T1539M",1543,"M",12,"T1213M","T1353F",NA,"Rod","Rod","Rab","Rab","Rab",2021-09-14,2022-06-21,5,1,NA,NA,NA,NA,NA,NA
"646","T153F",315,"F",2,"T18M","T8F",NA,"Rab","Rab","Rab","Rab","Rab",2015-09-06,2017-03-14,2,1,NA,72,NA,NA,NA,NA
"647","T1540F",1544,"F",12,"T1213M","T1353F",NA,"Rod","Rod","Rab","Rab","Rab",2021-09-14,2022-06-21,5,1,"daughter of T1353F",NA,NA,NA,NA,NA
"648","T1541F",1545,"F",12,"T1213M","T1353F",NA,"Rod","Rod","Rab","Rab","Rab",2021-09-14,2022-06-01,5,1,"daughter of T1353F; badly injured by T1633M",NA,NA,NA,NA,NA
"649","T1542F",1546,"F",12,"T1213M","T1353F",NA,"Rod","Rod","Rab","Rab","Rab",2021-09-14,2022-06-21,5,1,"daughter of T1353F",NA,NA,NA,NA,NA
"650","T1543M",1547,"M",12,"T1154M","T1298F",NA,"Rab","Rab","Rab","Rab","Rab",2021-09-16,2021-12-30,5,1,"Male descendent of T1154M",NA,NA,NA,NA,NA
